 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Grande Grupo CID10
Período:2021
"Região/Unidade da Federação";"V01-V99 Acidentes de transporte";"W00-X59 Outras causas externas de lesões acident";"X60-X84 Lesões autoprovocadas voluntariamente";"X85-Y09 Agressões";"Y10-Y34 Eventos cuja intenção é indeterminada";"Y35-Y36 Intervenções legais e operações de guerra";"Y40-Y84 Complic assistência médica e cirúrgica";"Y85-Y89 Seqüelas de causas externas";"Total"
"Região Norte";3418;2679;1209;6422;462;143;39;32;14404
".. Rondônia";474;255;145;535;80;1;4;4;1498
".. Acre";93;96;70;205;3;-;2;-;469
".. Amazonas";465;658;297;1816;49;-;6;12;3303
".. Roraima";147;137;69;257;47;1;1;-;659
".. Pará";1607;1117;398;2773;201;74;5;7;6182
".. Amapá";98;129;63;404;21;58;10;1;784
".. Tocantins";534;287;167;432;61;9;11;8;1509
"Região Nordeste";10556;8117;3792;20247;3474;817;520;109;47632
".. Maranhão";1467;955;386;1998;123;1;120;6;5056
".. Piauí";902;433;376;765;147;1;20;8;2652
".. Ceará";1902;1143;823;3465;757;6;53;8;8157
".. Rio Grande do Norte";461;396;254;1176;215;3;66;5;2576
".. Paraíba";841;600;280;1144;49;-;64;3;2981
".. Pernambuco";1517;1735;546;3435;953;4;42;20;8252
".. Alagoas";629;484;158;1016;94;54;32;6;2473
".. Sergipe";423;342;132;787;139;3;15;-;1841
".. Bahia";2414;2029;837;6461;997;745;108;53;13644
"Região Sudeste";11362;15266;5607;10847;8105;770;1123;167;53247
".. Minas Gerais";3211;3525;1800;2561;1977;16;227;49;13366
".. Espírito Santo";799;1185;259;1248;202;5;28;18;3744
".. Rio de Janeiro";1936;3526;903;4054;1567;639;393;16;13034
".. São Paulo";5416;7030;2645;2984;4359;110;475;84;23103
"Região Sul";5826;5695;3479;4628;1104;321;202;157;21412
".. Paraná";2668;2346;1106;2071;544;277;77;83;9172
".. Santa Catarina";1441;1229;856;683;270;29;44;23;4575
".. Rio Grande do Sul";1717;2120;1517;1874;290;15;81;51;7665
"Região Centro-Oeste";3870;2857;1412;3418;698;234;83;55;12627
".. Mato Grosso do Sul";646;411;305;528;161;23;8;9;2091
".. Mato Grosso";1213;642;264;871;140;17;9;13;3169
".. Goiás";1686;1367;653;1645;322;167;42;23;5905
".. Distrito Federal";325;437;190;374;75;27;24;10;1462
"Total";35032;34614;15499;45562;13843;2285;1967;520;149322
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
