 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2017
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";130;245;165;260;1850;4812;3336;1825;1196;735;503;469;263;15789
".. Rondônia";10;13;13;19;131;339;308;213;166;100;70;63;13;1458
".. Acre";5;10;6;23;131;250;168;89;50;32;25;28;3;820
".. Amazonas";46;63;44;62;376;1021;649;279;204;122;59;54;26;3005
".. Roraima";23;13;9;20;58;134;128;65;53;42;24;17;4;590
".. Pará";27;113;71;105;913;2444;1650;897;543;317;223;207;204;7714
".. Amapá";12;18;8;15;89;229;132;56;32;23;13;7;-;634
".. Tocantins";7;15;14;16;152;395;301;226;148;99;89;93;13;1568
"Região Nordeste";212;366;295;711;6794;15602;10293;6391;4175;2834;2166;2866;278;52983
".. Maranhão";23;62;55;93;563;1407;1141;624;399;273;207;202;27;5076
".. Piauí";9;17;23;39;207;570;490;346;237;175;138;146;17;2414
".. Ceará";24;47;42;130;1359;3038;1890;1143;745;543;377;453;16;9807
".. Rio Grande do Norte";11;19;14;31;509;1171;705;400;290;140;122;166;2;3580
".. Paraíba";14;20;15;39;332;789;601;448;289;197;125;225;1;3095
".. Pernambuco";54;62;38;104;1186;2875;1895;1141;752;522;442;594;105;9770
".. Alagoas";17;26;24;43;487;950;526;392;246;167;119;136;-;3133
".. Sergipe";5;14;13;35;263;717;427;305;165;121;110;147;1;2323
".. Bahia";55;99;71;197;1888;4085;2618;1592;1052;696;526;797;109;13785
"Região Sudeste";425;380;253;561;4727;10982;8934;6859;5921;4601;4019;6399;873;54934
".. Minas Gerais";65;102;83;173;1215;2980;2528;1943;1686;1108;938;1458;45;14324
".. Espírito Santo";21;19;19;58;410;824;652;472;387;286;203;428;3;3782
".. Rio de Janeiro";131;97;54;147;1638;3400;2116;1416;1265;1077;1028;1708;557;14634
".. São Paulo";208;162;97;183;1464;3778;3638;3028;2583;2130;1850;2805;268;22194
"Região Sul";156;167;91;220;1776;4763;3883;2882;2496;1800;1479;2055;99;21867
".. Paraná";68;60;39;90;672;1918;1537;1141;955;621;588;858;56;8603
".. Santa Catarina";18;46;21;48;343;969;815;670;600;393;289;402;7;4621
".. Rio Grande do Sul";70;61;31;82;761;1876;1531;1071;941;786;602;795;36;8643
"Região Centro-Oeste";93;135;84;177;1286;3086;2472;1767;1314;882;702;967;119;13084
".. Mato Grosso do Sul";27;18;12;28;173;419;335;289;266;174;142;170;9;2062
".. Mato Grosso";19;48;19;50;252;688;623;455;349;219;140;137;22;3021
".. Goiás";34;50;42;79;689;1652;1235;803;558;390;350;493;77;6452
".. Distrito Federal";13;19;11;20;172;327;279;220;141;99;70;167;11;1549
"Total";1016;1293;888;1929;16433;39245;28918;19724;15102;10852;8869;12756;1632;158657
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
