 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2024
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";11945;2329;13;14287
".. Rondônia";1283;305;4;1592
".. Acre";467;101;1;569
".. Amazonas";2590;429;-;3019
".. Roraima";433;123;-;556
".. Pará";5350;989;4;6343
".. Amapá";611;90;-;701
".. Tocantins";1211;292;4;1507
"Região Nordeste";41407;9053;28;50488
".. Maranhão";4691;876;6;5573
".. Piauí";2392;534;6;2932
".. Ceará";7575;1466;-;9041
".. Rio Grande do Norte";1887;465;2;2354
".. Paraíba";2568;622;1;3191
".. Pernambuco";7037;1822;7;8866
".. Alagoas";2370;507;2;2879
".. Sergipe";1474;349;-;1823
".. Bahia";11413;2412;4;13829
"Região Sudeste";42684;15278;80;58042
".. Minas Gerais";11664;3785;3;15452
".. Espírito Santo";3013;1005;6;4024
".. Rio de Janeiro";9220;3567;52;12839
".. São Paulo";18787;6921;19;25727
"Região Sul";17201;5920;18;23139
".. Paraná";7453;2420;8;9881
".. Santa Catarina";3788;1285;5;5078
".. Rio Grande do Sul";5960;2215;5;8180
"Região Centro-Oeste";10653;2912;13;13578
".. Mato Grosso do Sul";1785;515;-;2300
".. Mato Grosso";2941;655;2;3598
".. Goiás";4678;1334;11;6023
".. Distrito Federal";1249;408;-;1657
"Total";123890;35492;152;159534
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
