 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2018
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"25   POLONIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"45   ESTADOS UNIDOS";2;-;-;2;-;6;-;1;-;-;-;-;-;-;4;3;18
"38   REINO UNIDO";-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;4
"68   BOLIVIA";1;7;1;6;-;6;5;4;-;-;4;1;12;2;6;8;63
"71   EQUADOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"91   TUNISIA";-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4
"100  COSTA RICA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"2    GABAO";-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"3    GEORGIA";-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;2;5
"5    LIBIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"7    PERU";1;1;-;-;-;1;-;2;-;-;-;-;1;-;-;5;11
"9    SUICA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"10   TURCOMENISTAO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"12   BARBADOS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"19   ITALIA";-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;2;6
"21   MEXICO";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"23   SUECIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"24   NORUEGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"29   TAIWAN (ILHA FORMOSA)";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"32   ARGENTINA";1;-;-;2;-;17;3;3;-;-;1;-;1;-;5;14;47
"33   BRUNEI";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"37   PAISES BAIXOS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"39   UCRANIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4
"41   ALEMANHA";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;4
"43   BELGICA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"44   ESPANHA";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3
"46   FRANCA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;4
"55   JAPAO";-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"59   ANTILHAS HOLANDESAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"63   NAURU";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"65   ALBANIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"92   AUSTRALIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"93   BAHREIN";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"96   CANADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"97   CATAR";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"101  DOMINICA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"102  EGITO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"107  FILIPINAS";-;1;-;2;-;2;2;1;-;-;-;-;-;-;-;-;8
"111  GUIANA FRANCESA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"112  GUINE-BISSAU";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"124  PANAMA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"126  PARAGUAI";2;20;-;6;1;15;7;4;-;-;3;-;22;3;3;22;108
"129  REPUBLICA DOMINICANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"137  URUGUAI";1;3;-;-;-;5;-;-;-;-;1;-;-;-;2;4;16
"138  VENEZUELA";24;19;1;8;1;6;9;5;1;1;4;-;13;4;1;9;106
"139  ZIMBABUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"144  AZERBAIJAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"151  COLOMBIA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;7;9
"156  CUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"162  GRECIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"164  INDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"168  LETONIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"180  PALAU";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"182  PORTUGAL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;4
"184  SAO VICENTE E GRANABINAS";-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3
"192  CHILE";2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;1;7
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"199  GUIANA";1;2;-;-;-;-;1;2;-;-;2;-;6;2;-;3;19
"Total";39;69;2;27;3;82;34;24;5;1;16;1;58;11;29;101;502
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
