 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2021
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"25   POLONIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110  GUATEMALA";-;-;-;-;-;-;-;-;-;-;1;-;1
"86   TANZANIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"45   ESTADOS UNIDOS";-;-;-;-;-;-;2;2;5;3;2;-;14
"64   TUVALU";-;-;-;-;-;-;-;1;-;-;1;-;2
"68   BOLIVIA";12;4;1;-;8;8;2;9;10;12;5;3;74
"71   EQUADOR";-;-;-;-;-;-;-;-;-;1;1;-;2
"81   QUIRGUISTAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"91   TUNISIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"2    GABAO";-;-;-;-;-;-;1;-;4;1;1;-;7
"3    GEORGIA";-;-;-;-;1;-;-;-;1;-;2;-;4
"4    IEMEM";-;-;-;-;1;-;-;-;-;-;1;-;2
"7    PERU";2;-;-;1;2;2;1;-;3;4;-;2;17
"9    SUICA";-;-;-;-;-;-;-;-;1;-;-;-;1
"10   TURCOMENISTAO";-;-;-;-;-;-;-;-;-;1;-;1;2
"11   SOMALIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"15   GUINE";-;-;-;-;-;-;-;-;1;-;-;-;1
"19   ITALIA";-;-;-;-;-;-;2;2;-;-;1;-;5
"21   MEXICO";-;-;-;-;-;-;-;1;-;-;-;-;1
"26   REPUBLICA TCHECA";1;-;-;-;-;-;-;-;-;-;-;-;1
"28   SUDAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"32   ARGENTINA";1;-;-;1;2;-;1;1;-;-;-;-;6
"33   BRUNEI";-;-;-;-;-;-;-;-;-;1;-;-;1
"36   MALDIVAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"39   UCRANIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"41   ALEMANHA";-;-;-;-;-;-;1;-;-;-;-;-;1
"43   BELGICA";-;-;-;-;-;-;-;-;1;-;-;-;1
"44   ESPANHA";-;-;-;-;-;-;1;-;-;-;-;-;1
"46   FRANCA";-;-;1;-;-;-;2;-;1;1;-;-;5
"49   RUSSIA";-;-;-;-;-;1;-;1;1;-;-;-;3
"55   JAPAO";-;-;-;-;-;-;-;1;1;2;1;-;5
"59   ANTILHAS HOLANDESAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"62   MYANMAR";-;-;-;-;-;1;-;-;-;-;-;-;1
"92   AUSTRALIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"99   CHIPRE";-;-;-;-;-;-;-;1;-;-;-;-;1
"107  FILIPINAS";-;-;-;-;-;1;1;4;2;-;-;-;8
"111  GUIANA FRANCESA";-;-;-;-;-;1;-;-;-;-;-;-;1
"122  MOLDOVA";-;-;-;-;-;-;-;-;-;-;1;-;1
"124  PANAMA";-;-;-;-;-;-;1;-;-;-;-;-;1
"126  PARAGUAI";7;2;-;5;20;19;23;20;37;24;21;8;186
"127  QUENIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"128  REPUBLICA CENTRO-AFRICANA";-;-;-;-;-;-;-;-;1;-;-;-;1
"136  TURQUIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"137  URUGUAI";1;-;1;-;-;-;1;-;-;2;-;-;5
"138  VENEZUELA";1;-;-;-;2;1;2;1;-;2;1;-;10
"143  AUSTRIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"147  BOSNIA-HERZEGOVINA";-;-;-;-;-;-;1;-;1;-;-;-;2
"151  COLOMBIA";-;-;-;-;1;2;4;-;-;-;-;-;7
"156  CUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"162  GRECIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"164  INDIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"182  PORTUGAL";-;-;-;-;1;1;-;1;-;-;-;-;3
"192  CHILE";-;-;-;-;1;-;-;1;1;-;-;1;4
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;1;1;-;-;-;-;-;2
"199  GUIANA";2;-;-;-;-;-;-;1;-;-;-;1;4
"125  PAQUISTAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";27;6;3;7;40;40;49;54;73;55;41;16;411
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
