 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2023
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"110  GUATEMALA";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"45   ESTADOS UNIDOS";-;-;-;-;-;-;3;1;2;6;3;1;-;16
"38   REINO UNIDO";-;-;-;-;-;-;-;1;1;1;1;-;-;4
"68   BOLIVIA";7;4;1;4;-;8;11;21;13;18;12;6;7;112
"91   TUNISIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"121  MAURITANIA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"2    GABAO";-;-;-;-;-;-;-;-;1;1;1;3;-;6
"3    GEORGIA";-;-;-;-;-;-;1;1;-;1;4;3;-;10
"4    IEMEM";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"6    MARROCOS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"7    PERU";-;-;-;2;3;-;3;2;3;3;-;-;1;17
"9    SUICA";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"11   SOMALIA";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"14   CAZAQUISTAO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"17   IRLANDA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"18   ISLANDIA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"19   ITALIA";-;-;-;1;-;1;2;-;2;-;1;3;-;10
"21   MEXICO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"24   NORUEGA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"32   ARGENTINA";-;1;1;-;1;4;4;9;6;6;5;7;-;44
"33   BRUNEI";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"39   UCRANIA";-;-;-;-;-;-;1;2;2;-;-;-;-;5
"41   ALEMANHA";-;-;-;-;-;1;-;-;1;2;1;2;-;7
"43   BELGICA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"44   ESPANHA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"46   FRANCA";-;-;-;-;1;2;1;1;-;-;1;-;-;6
"48   ROMENIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"49   RUSSIA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"51   ZAIRE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"55   JAPAO";-;-;-;-;-;1;1;1;-;-;-;2;-;5
"58   GUADALUPE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"62   MYANMAR";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"67   BELIZE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"90   TRINIDAD E TOBAGO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"92   AUSTRALIA";-;-;-;-;-;-;1;-;1;-;1;-;-;3
"93   BAHREIN";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"96   CANADA";-;-;-;-;-;-;-;1;1;2;-;-;-;4
"98   CHADE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"107  FILIPINAS";-;-;-;-;-;2;1;4;1;1;-;-;-;9
"111  GUIANA FRANCESA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"120  MALAVI";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"124  PANAMA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"126  PARAGUAI";14;-;1;1;1;19;16;16;22;17;15;13;9;144
"127  QUENIA";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"137  URUGUAI";-;-;-;-;-;4;1;-;1;3;-;-;-;9
"138  VENEZUELA";10;1;-;2;1;5;5;1;2;4;1;2;3;37
"143  AUSTRIA";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"151  COLOMBIA";-;-;-;-;3;6;3;2;1;1;-;1;-;17
"156  CUBA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"160  FINLANDIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"164  INDIA";-;-;-;-;-;2;2;-;-;-;-;-;-;4
"165  INDONESIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"167  JORDANIA";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"171  MALASIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"182  PORTUGAL";-;-;-;-;-;-;2;-;1;-;2;2;-;7
"184  SAO VICENTE E GRANABINAS";1;-;-;-;-;-;-;-;-;1;-;-;-;2
"192  CHILE";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"196  DINAMARCA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"199  GUIANA";6;-;-;-;-;-;2;4;2;2;-;3;-;19
"0    IGNORADO/BRANCO";-;-;-;-;-;1;1;1;1;2;3;4;-;13
"Total";38;6;4;11;10;61;64;73;77;80;56;59;20;559
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
