 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2017
"País de residência";"Masc";"Fem";"Ign";"Total"
"25   POLONIA";2;-;-;2
"116  IRA";1;-;-;1
"45   ESTADOS UNIDOS";9;1;-;10
"38   REINO UNIDO";1;-;-;1
"68   BOLIVIA";35;19;-;54
"71   EQUADOR";1;-;-;1
"81   QUIRGUISTAO";1;-;-;1
"113  GUINE EQUATORIAL";-;1;-;1
"2    GABAO";4;2;-;6
"3    GEORGIA";5;1;-;6
"4    IEMEM";1;-;-;1
"7    PERU";10;8;1;19
"8    SEYCHELLES";1;-;-;1
"9    SUICA";2;1;-;3
"10   TURCOMENISTAO";-;1;-;1
"11   SOMALIA";2;-;-;2
"19   ITALIA";7;1;-;8
"23   SUECIA";1;1;-;2
"24   NORUEGA";2;-;-;2
"31   ANGOLA";1;1;-;2
"32   ARGENTINA";57;15;-;72
"39   UCRANIA";1;-;-;1
"41   ALEMANHA";4;2;-;6
"43   BELGICA";1;-;-;1
"44   ESPANHA";6;1;-;7
"46   FRANCA";2;-;-;2
"48   ROMENIA";2;-;-;2
"49   RUSSIA";3;-;-;3
"55   JAPAO";4;7;-;11
"107  FILIPINAS";6;-;-;6
"118  LITUANIA";1;-;-;1
"122  MOLDOVA";1;-;-;1
"123  NEPAL";1;-;-;1
"126  PARAGUAI";55;34;-;89
"128  REPUBLICA CENTRO-AFRICANA";1;-;-;1
"137  URUGUAI";11;7;-;18
"138  VENEZUELA";39;24;-;63
"143  AUSTRIA";1;-;-;1
"146  BENIN";1;-;-;1
"148  BULGARIA";1;-;-;1
"151  COLOMBIA";8;2;-;10
"160  FINLANDIA";1;-;-;1
"162  GRECIA";1;-;-;1
"164  INDIA";1;-;-;1
"168  LETONIA";1;-;-;1
"182  PORTUGAL";3;3;-;6
"192  CHILE";1;2;-;3
"193  REPUBLICA POPULAR DA CHINA";2;-;-;2
"199  GUIANA";7;10;-;17
"239  SAMOA AMERICANA";-;1;-;1
"Total";309;145;1;455
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
