 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Local ocorrência
Período:2025
"País de residência";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"25   POLONIA";1;-;-;-;2;-;3
"110  GUATEMALA";2;1;2;-;-;-;5
"45   ESTADOS UNIDOS";14;3;-;-;14;-;31
"38   REINO UNIDO";1;1;-;1;2;-;5
"68   BOLIVIA";97;4;2;1;4;1;109
"71   EQUADOR";-;-;-;1;-;-;1
"84   SURINAME";-;-;-;-;2;-;2
"2    GABAO";1;2;-;-;-;-;3
"3    GEORGIA";-;1;6;1;-;-;8
"4    IEMEM";-;-;-;1;-;-;1
"5    LIBIA";1;-;-;-;-;-;1
"6    MARROCOS";-;1;-;1;-;-;2
"7    PERU";18;-;-;2;-;-;20
"9    SUICA";2;-;1;-;4;-;7
"11   SOMALIA";2;-;-;-;-;-;2
"19   ITALIA";3;-;-;1;-;-;4
"20   LIECHTENSTEIN";1;-;-;-;-;-;1
"22   MOCAMBIQUE";-;1;-;-;-;-;1
"23   SUECIA";1;-;-;-;-;-;1
"26   REPUBLICA TCHECA";-;-;1;-;-;-;1
"31   ANGOLA";3;-;-;-;-;-;3
"32   ARGENTINA";40;4;2;15;19;-;80
"33   BRUNEI";1;-;-;-;-;-;1
"34   COREIA DO SUL";-;-;1;-;1;-;2
"39   UCRANIA";1;-;-;-;3;-;4
"41   ALEMANHA";2;-;1;-;2;-;5
"43   BELGICA";3;-;-;-;-;-;3
"44   ESPANHA";1;-;-;-;3;-;4
"46   FRANCA";4;-;-;2;4;-;10
"49   RUSSIA";-;-;-;-;1;-;1
"50   SIRIA";-;1;-;-;-;-;1
"55   JAPAO";-;-;-;-;1;-;1
"62   MYANMAR";-;-;-;-;1;-;1
"65   ALBANIA";1;-;-;-;-;-;1
"67   BELIZE";1;-;-;-;-;-;1
"75   LIBANO";1;-;-;-;-;-;1
"90   TRINIDAD E TOBAGO";1;-;-;-;-;-;1
"92   AUSTRALIA";1;-;-;-;1;-;2
"96   CANADA";1;-;1;-;2;-;4
"98   CHADE";2;-;-;-;-;-;2
"107  FILIPINAS";2;-;-;-;4;-;6
"112  GUINE-BISSAU";-;-;1;-;-;-;1
"126  PARAGUAI";83;6;3;16;13;-;121
"129  REPUBLICA DOMINICANA";1;-;-;1;-;-;2
"131  SAMOA OCIDENTAL";1;-;-;-;-;-;1
"133  SENEGAL";1;-;-;-;-;-;1
"137  URUGUAI";5;2;-;8;5;-;20
"138  VENEZUELA";32;-;1;-;1;-;34
"140  AFRICA DO SUL";-;-;1;-;2;-;3
"143  AUSTRIA";-;-;-;-;1;-;1
"147  BOSNIA-HERZEGOVINA";1;-;1;-;-;-;2
"148  BULGARIA";-;-;-;-;1;-;1
"151  COLOMBIA";7;-;-;10;5;-;22
"156  CUBA";1;-;-;-;1;-;2
"164  INDIA";1;-;-;-;2;-;3
"165  INDONESIA";-;-;-;1;-;-;1
"171  MALASIA";-;-;-;-;1;-;1
"177  NIGERIA";1;-;-;-;-;-;1
"182  PORTUGAL";2;1;-;-;2;-;5
"192  CHILE";5;2;-;-;3;-;10
"193  REPUBLICA POPULAR DA CHINA";1;-;-;-;3;-;4
"199  GUIANA";26;-;-;-;-;-;26
"0    IGNORADO/BRANCO";18;-;8;-;1;-;27
"Total";395;30;32;62;111;1;631
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
