 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2020
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";24113;11777;510;6843;630;1901;3;14;20353;10427;3682;299;330;2171;310;2508;1036;8612;13495;109014
".. Rondônia";2212;1343;42;668;62;229;-;2;2046;711;362;17;21;262;19;196;94;614;1378;10278
".. Acre";1006;539;34;226;21;60;2;-;771;488;163;2;15;88;5;125;57;662;596;4860
".. Amazonas";6972;2637;110;1502;94;372;-;6;3565;1747;749;53;89;427;78;550;305;2777;2732;24765
".. Roraima";959;406;22;168;10;55;-;2;601;225;134;13;17;49;20;129;44;125;601;3580
".. Pará";10184;5238;258;3324;275;911;-;2;10206;6260;1717;177;156;1083;155;1211;396;3999;6091;51643
".. Amapá";1292;507;13;242;32;83;-;-;765;329;160;6;10;76;15;157;62;191;677;4617
".. Tocantins";1488;1107;31;713;136;191;1;2;2399;667;397;31;22;186;18;140;78;244;1420;9271
"Região Nordeste";69227;51705;1888;29343;5345;9497;10;54;96649;35431;17897;2163;1662;9539;699;6159;2807;27252;48592;415919
".. Maranhão";6733;4426;223;3613;391;701;1;10;11318;4204;1884;181;122;867;101;913;340;2252;4991;43271
".. Piauí";3566;2687;110;1589;265;561;-;1;6728;2071;1055;119;78;444;47;342;192;1313;2478;23646
".. Ceará";14149;9509;289;3233;909;2009;1;13;14955;6553;2795;409;319;1333;132;872;408;2953;8671;69512
".. Rio Grande do Norte";3966;3620;128;1720;262;638;-;7;6037;2179;1105;142;205;611;34;315;167;808;2730;24674
".. Paraíba";4660;4121;117;2521;287;779;-;4;7606;2991;1349;148;93;924;56;425;197;1853;2976;31107
".. Pernambuco";14119;9230;296;5848;1255;1875;5;6;16705;7598;3371;415;325;2110;99;902;499;3263;8653;76574
".. Alagoas";4543;2522;76;2113;266;357;1;3;6041;1670;1168;98;102;424;40;357;163;1496;2708;24148
".. Sergipe";2870;1892;58;979;363;382;-;3;3156;1129;638;120;44;392;33;307;128;1289;2010;15793
".. Bahia";14621;13698;591;7727;1347;2195;2;7;24103;7036;4532;531;374;2434;157;1726;713;12025;13375;107194
"Região Sudeste";122551;106972;3080;37198;7587;21625;10;77;164015;74233;29883;3309;2986;24048;767;6620;3608;43433;51057;703059
".. Minas Gerais";19417;24653;798;8519;2861;5296;4;22;35595;15592;7083;650;806;5244;135;1623;900;10514;12416;152128
".. Espírito Santo";5615;4532;94;1757;267;1214;-;8;6880;2193;1111;128;147;787;43;303;210;358;3464;29111
".. Rio de Janeiro";39263;22081;936;8948;1159;3729;3;15;37073;16039;5584;908;590;5924;236;1433;692;14671;12901;172185
".. São Paulo";58256;55706;1252;17974;3300;11386;3;32;84467;40409;16105;1623;1443;12093;353;3261;1806;17890;22276;349635
"Região Sul";30276;43480;702;13726;2395;9362;1;12;52739;19396;10286;723;782;6178;188;2026;1338;7921;20277;221808
".. Paraná";11013;14939;278;4986;1084;3486;1;4;20224;7293;4280;281;327;2169;84;780;565;2054;8725;82573
".. Santa Catarina";6732;9344;164;2513;393;1550;-;5;11447;4123;2097;150;173;1254;37;526;331;1263;4342;46444
".. Rio Grande do Sul";12531;19197;260;6227;918;4326;-;3;21068;7980;3909;292;282;2755;67;720;442;4604;7210;92791
"Região Centro-Oeste";21120;15366;416;5639;1211;3213;-;7;23985;9286;4919;302;368;2924;183;1457;884;3127;12617;107024
".. Mato Grosso do Sul";2823;2860;71;831;90;576;-;-;5157;2008;918;96;78;639;16;257;138;587;1906;19051
".. Mato Grosso";5207;2953;107;1446;227;546;-;2;4570;1734;822;43;64;626;55;346;208;1299;3142;23397
".. Goiás";9320;6768;168;2603;581;1476;-;2;11010;4374;2392;113;165;1357;90;625;360;896;6058;48358
".. Distrito Federal";3770;2785;70;759;313;615;-;3;3248;1170;787;50;61;302;22;229;178;345;1511;16218
"Total";267287;229300;6596;92749;17168;45598;24;164;357741;148773;66667;6796;6128;44860;2147;18770;9673;90345;146038;1556824
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
