 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2023
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";56678;37733;66;94477
".. Rondônia";6110;3861;3;9974
".. Acre";2434;1748;7;4189
".. Amazonas";12234;8144;7;20385
".. Roraima";1998;1311;2;3311
".. Pará";25922;17813;45;43780
".. Amapá";2527;1397;2;3926
".. Tocantins";5453;3459;-;8912
"Região Nordeste";212303;168155;188;380646
".. Maranhão";22570;16150;27;38747
".. Piauí";12829;9680;20;22529
".. Ceará";33472;27139;24;60635
".. Rio Grande do Norte";12241;10041;20;22302
".. Paraíba";15509;13258;6;28773
".. Pernambuco";37117;31383;27;68527
".. Alagoas";12134;9824;7;21965
".. Sergipe";7956;6122;9;14087
".. Bahia";58475;44558;48;103081
"Região Sudeste";353453;310711;205;664369
".. Minas Gerais";86068;71502;33;157603
".. Espírito Santo";15357;11953;5;27315
".. Rio de Janeiro";74304;70729;115;145148
".. São Paulo";177724;156527;52;334303
"Região Sul";122668;102867;35;225570
".. Paraná";46697;36751;17;83465
".. Santa Catarina";26565;22016;8;48589
".. Rio Grande do Sul";49406;44100;10;93516
"Região Centro-Oeste";58098;42418;32;100548
".. Mato Grosso do Sul";11283;8353;2;19638
".. Mato Grosso";13409;8371;10;21790
".. Goiás";25800;19222;19;45041
".. Distrito Federal";7606;6472;1;14079
"Total";803200;661884;526;1465610
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
