 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2025
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";63343;5064;21050;4759;4637;60;98913
".. Rondônia";7305;354;1934;542;421;3;10559
".. Acre";2855;22;972;181;202;7;4239
".. Amazonas";13973;155;4662;722;859;4;20375
".. Roraima";2249;52;679;124;253;11;3368
".. Pará";27910;4052;10119;2486;2146;31;46744
".. Amapá";2776;95;676;111;330;-;3988
".. Tocantins";6275;334;2008;593;426;4;9640
"Região Nordeste";242420;23109;98298;18195;13957;297;396276
".. Maranhão";24840;1443;10486;2274;1857;33;40933
".. Piauí";13767;504;7138;1101;693;18;23221
".. Ceará";36971;4196;17205;2936;2558;34;63900
".. Rio Grande do Norte";14228;2103;5447;881;645;46;23350
".. Paraíba";19377;1312;7633;1168;1036;21;30547
".. Pernambuco";45304;4852;15226;3031;2079;18;70510
".. Alagoas";13555;1957;5447;974;989;14;22936
".. Sergipe";9774;144;3715;678;255;14;14580
".. Bahia";64604;6598;26001;5152;3845;99;106299
"Região Sudeste";474198;66222;121108;15574;18886;226;696214
".. Minas Gerais";107220;10931;32459;4575;4468;119;159772
".. Espírito Santo";19944;1760;5631;1150;896;20;29401
".. Rio de Janeiro";95683;25028;24749;2870;3933;21;152284
".. São Paulo";251351;28503;58269;6979;9589;66;354757
"Região Sul";165618;9798;46301;6867;9291;101;237976
".. Paraná";59267;4580;18220;3065;2678;6;87816
".. Santa Catarina";36338;1547;10615;1529;2075;22;52126
".. Rio Grande do Sul";70013;3671;17466;2273;4538;73;98034
"Região Centro-Oeste";71330;7886;18534;4036;3390;33;105209
".. Mato Grosso do Sul";14215;695;3701;766;663;3;20043
".. Mato Grosso";15020;2075;4022;1117;800;15;23049
".. Goiás";31782;3599;8343;1678;1595;15;47012
".. Distrito Federal";10313;1517;2468;475;332;-;15105
"Total";1016909;112079;305291;49431;50161;717;1534588
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
