 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2018
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";281;17;34;99;1;64;1;-;48;302;52;4;1;30;2663;1011;156;136;4900
".. Rondônia";22;2;4;5;-;8;-;-;7;13;3;-;1;4;168;102;7;11;357
".. Acre";17;-;2;23;-;7;1;-;2;17;4;1;-;-;133;52;6;8;273
".. Amazonas";75;6;8;27;-;21;-;-;9;103;16;-;-;9;642;247;56;34;1253
".. Roraima";22;1;1;10;-;1;-;-;2;11;3;-;-;1;103;67;5;39;266
".. Pará";117;6;15;32;1;23;-;-;23;125;21;3;-;12;1273;378;78;27;2134
".. Amapá";17;-;3;2;-;2;-;-;5;17;4;-;-;2;169;65;3;5;294
".. Tocantins";11;2;1;-;-;2;-;-;-;16;1;-;-;2;175;100;1;12;323
"Região Nordeste";464;43;55;135;-;152;2;2;111;462;121;7;4;44;6834;2388;234;256;11314
".. Maranhão";91;5;10;29;-;19;1;-;24;84;23;1;-;11;990;282;50;29;1649
".. Piauí";31;4;3;7;-;6;-;-;4;32;11;2;1;5;468;139;9;13;735
".. Ceará";46;4;5;15;-;28;1;1;16;65;15;-;-;7;963;370;31;27;1594
".. Rio Grande do Norte";25;6;2;6;-;4;-;-;7;20;6;-;-;1;359;114;4;10;564
".. Paraíba";25;3;4;9;-;12;-;-;9;32;9;2;-;1;413;144;20;20;703
".. Pernambuco";93;3;5;22;-;22;-;1;12;61;7;1;1;5;958;420;20;83;1714
".. Alagoas";24;3;4;7;-;14;-;-;8;38;7;-;-;2;385;144;10;12;658
".. Sergipe";8;2;1;2;-;3;-;-;5;21;4;-;-;1;388;118;9;14;576
".. Bahia";121;13;21;38;-;44;-;-;26;109;39;1;2;11;1910;657;81;48;3121
"Região Sudeste";432;37;44;82;-;169;-;4;136;583;106;8;2;40;7395;3075;305;395;12813
".. Minas Gerais";78;5;10;25;-;32;-;1;22;81;16;2;1;3;1744;720;95;54;2889
".. Espírito Santo";15;3;2;3;-;10;-;-;4;23;10;2;-;3;348;159;2;16;600
".. Rio de Janeiro";158;5;8;22;-;42;-;3;27;193;13;3;1;10;1530;579;60;140;2794
".. São Paulo";181;24;24;32;-;85;-;-;83;286;67;1;-;24;3773;1617;148;185;6530
"Região Sul";90;11;12;25;-;45;-;-;29;113;26;-;-;15;2266;1075;96;132;3935
".. Paraná";34;4;5;11;-;20;-;-;11;43;11;-;-;4;939;431;42;58;1613
".. Santa Catarina";25;3;2;4;-;9;-;-;11;33;6;-;-;5;543;259;26;24;950
".. Rio Grande do Sul";31;4;5;10;-;16;-;-;7;37;9;-;-;6;784;385;28;50;1372
"Região Centro-Oeste";113;9;9;32;-;42;-;-;24;124;20;1;-;14;1580;764;70;100;2902
".. Mato Grosso do Sul";20;1;1;9;-;10;-;-;7;26;6;-;-;4;234;143;11;30;502
".. Mato Grosso";34;2;4;7;-;11;-;-;4;31;7;-;-;2;374;181;28;28;713
".. Goiás";43;4;-;13;-;17;-;-;13;57;5;1;-;7;723;295;24;32;1234
".. Distrito Federal";16;2;4;3;-;4;-;-;-;10;2;-;-;1;249;145;7;10;453
"Total";1380;117;154;373;1;472;3;6;348;1584;325;20;7;143;20738;8313;861;1019;35864
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
