 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2019
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";235;22;26;79;57;1;-;45;361;64;9;1;17;2531;1013;155;128;4744
".. Rondônia";15;2;2;5;3;1;-;3;14;6;-;-;-;165;79;5;11;311
".. Acre";14;1;1;12;5;-;-;4;32;9;1;-;2;122;49;5;2;259
".. Amazonas";63;4;4;25;17;-;-;1;107;14;3;-;4;644;283;47;25;1241
".. Roraima";19;-;-;12;9;-;-;6;24;2;-;-;-;88;59;9;36;264
".. Pará";97;9;13;20;18;-;-;24;148;25;5;1;10;1237;390;67;30;2094
".. Amapá";16;3;5;1;3;-;-;5;24;3;-;-;-;150;58;12;9;289
".. Tocantins";11;3;1;4;2;-;-;2;12;5;-;-;1;125;95;10;15;286
"Região Nordeste";433;52;65;125;111;1;-;122;498;113;10;5;44;6491;2478;250;237;11035
".. Maranhão";83;7;10;21;19;1;-;15;106;14;1;-;5;974;290;51;30;1627
".. Piauí";20;4;4;13;6;-;-;8;41;6;-;-;2;405;165;23;5;702
".. Ceará";56;7;11;23;17;-;-;25;68;22;1;2;6;900;389;26;27;1580
".. Rio Grande do Norte";12;7;3;4;5;-;-;5;23;7;3;-;9;337;103;7;22;547
".. Paraíba";21;3;5;6;8;-;-;10;37;5;3;-;6;438;180;18;12;752
".. Pernambuco";70;4;6;12;11;-;-;8;55;9;1;-;3;921;442;16;75;1633
".. Alagoas";33;3;2;7;11;-;-;14;33;6;-;-;1;379;154;9;7;659
".. Sergipe";22;3;2;3;6;-;-;6;32;8;1;1;2;341;120;6;12;565
".. Bahia";116;14;22;36;28;-;-;31;103;36;-;2;10;1796;635;94;47;2970
"Região Sudeste";396;43;66;87;153;1;3;119;531;115;4;4;36;7394;3037;311;407;12707
".. Minas Gerais";83;9;12;28;29;1;-;23;69;25;-;2;7;1765;728;100;61;2942
".. Espírito Santo";16;3;3;5;5;-;1;4;38;8;1;-;1;307;162;3;28;585
".. Rio de Janeiro";137;6;15;21;44;-;2;30;171;19;2;1;7;1470;601;67;144;2737
".. São Paulo";160;25;36;33;75;-;-;62;253;63;1;1;21;3852;1546;141;174;6443
"Região Sul";85;16;13;17;48;-;1;29;114;22;1;1;7;2231;1117;116;135;3953
".. Paraná";29;6;5;6;16;-;1;13;32;13;-;-;4;879;471;49;58;1582
".. Santa Catarina";23;5;7;2;15;-;-;7;35;3;1;1;3;535;256;25;24;942
".. Rio Grande do Sul";33;5;1;9;17;-;-;9;47;6;-;-;-;817;390;42;53;1429
"Região Centro-Oeste";114;6;17;30;39;-;-;29;123;31;1;1;14;1566;751;58;74;2854
".. Mato Grosso do Sul";18;-;1;6;4;-;-;9;20;7;1;-;1;252;125;19;22;485
".. Mato Grosso";44;1;7;11;7;-;-;6;40;9;-;1;7;395;183;15;21;747
".. Goiás";41;3;8;7;20;-;-;11;52;12;-;-;6;704;350;19;27;1260
".. Distrito Federal";11;2;1;6;8;-;-;3;11;3;-;-;-;215;93;5;4;362
"Total";1263;139;187;338;408;3;4;344;1627;345;25;12;118;20213;8396;890;981;35293
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
