 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2020
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";115;1;14;42;172
".. Rondônia";10;-;1;1;12
".. Acre";8;-;1;2;11
".. Amazonas";32;-;3;6;41
".. Roraima";8;-;-;-;8
".. Pará";55;1;6;30;92
".. Amapá";-;-;2;2;4
".. Tocantins";2;-;1;1;4
"Região Nordeste";214;3;17;155;389
".. Maranhão";31;-;8;25;64
".. Piauí";16;-;-;1;17
".. Ceará";23;2;1;11;37
".. Rio Grande do Norte";5;-;-;6;11
".. Paraíba";15;1;2;6;24
".. Pernambuco";27;-;3;3;33
".. Alagoas";10;-;1;8;19
".. Sergipe";9;-;-;-;9
".. Bahia";78;-;2;95;175
"Região Sudeste";232;2;9;52;295
".. Minas Gerais";68;1;1;32;102
".. Espírito Santo";7;-;1;1;9
".. Rio de Janeiro";43;-;5;9;57
".. São Paulo";114;1;2;10;127
"Região Sul";51;-;4;12;67
".. Paraná";25;-;1;4;30
".. Santa Catarina";11;-;2;6;19
".. Rio Grande do Sul";15;-;1;2;18
"Região Centro-Oeste";63;2;5;27;97
".. Mato Grosso do Sul";9;1;-;4;14
".. Mato Grosso";38;-;3;11;52
".. Goiás";12;1;2;12;27
".. Distrito Federal";4;-;-;-;4
"Total";675;8;49;288;1020
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
