 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2023
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";3;1014;396;769;478;324;93;1440;4517
".. Rondônia";-;82;9;54;27;14;5;102;293
".. Acre";-;57;19;44;24;22;4;75;245
".. Amazonas";-;254;100;144;176;80;53;397;1204
".. Roraima";-;57;30;36;43;51;2;94;313
".. Pará";3;417;198;408;158;117;27;569;1897
".. Amapá";-;65;19;35;36;15;1;100;271
".. Tocantins";-;82;21;48;14;25;1;103;294
"Região Nordeste";2;2607;932;1678;857;467;138;3027;9708
".. Maranhão";-;369;132;226;155;71;23;467;1443
".. Piauí";-;187;54;89;44;17;8;231;630
".. Ceará";-;350;116;263;96;56;14;407;1302
".. Rio Grande do Norte";-;127;44;73;22;14;-;160;440
".. Paraíba";1;160;61;135;64;30;18;199;668
".. Pernambuco";1;426;128;191;161;127;16;485;1535
".. Alagoas";-;147;74;141;65;37;4;163;631
".. Sergipe";-;148;50;97;60;23;5;153;536
".. Bahia";-;693;273;463;190;92;50;762;2523
"Região Sudeste";6;3190;1027;1892;806;654;136;3624;11335
".. Minas Gerais";-;691;243;463;159;130;72;880;2638
".. Espírito Santo";-;155;46;98;40;51;1;214;605
".. Rio de Janeiro";1;651;235;370;215;181;13;704;2370
".. São Paulo";5;1693;503;961;392;292;50;1826;5722
"Região Sul";3;1139;267;444;193;229;46;1239;3560
".. Paraná";-;532;115;135;80;110;23;516;1511
".. Santa Catarina";1;239;63;146;62;53;12;302;878
".. Rio Grande do Sul";2;368;89;163;51;66;11;421;1171
"Região Centro-Oeste";2;817;228;418;212;170;33;1017;2897
".. Mato Grosso do Sul";-;121;32;94;44;44;6;204;545
".. Mato Grosso";-;196;66;148;71;59;10;272;822
".. Goiás";2;341;93;154;76;51;15;412;1144
".. Distrito Federal";-;159;37;22;21;16;2;129;386
"Total";16;8767;2850;5201;2546;1844;446;10347;32017
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
