 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2025
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";2321;1848;30;4199
".. Rondônia";157;136;2;295
".. Acre";135;110;-;245
".. Amazonas";632;493;5;1130
".. Roraima";143;119;2;264
".. Pará";991;771;19;1781
".. Amapá";115;103;-;218
".. Tocantins";148;116;2;266
"Região Nordeste";4858;3999;73;8930
".. Maranhão";710;559;7;1276
".. Piauí";281;266;15;562
".. Ceará";647;550;6;1203
".. Rio Grande do Norte";271;182;2;455
".. Paraíba";321;301;5;627
".. Pernambuco";789;645;17;1451
".. Alagoas";294;276;3;573
".. Sergipe";246;194;2;442
".. Bahia";1299;1026;16;2341
"Região Sudeste";5721;4764;30;10515
".. Minas Gerais";1356;1157;8;2521
".. Espírito Santo";326;287;1;614
".. Rio de Janeiro";1221;956;6;2183
".. São Paulo";2818;2364;15;5197
"Região Sul";1958;1569;6;3533
".. Paraná";809;655;1;1465
".. Santa Catarina";525;402;2;929
".. Rio Grande do Sul";624;512;3;1139
"Região Centro-Oeste";1537;1176;14;2727
".. Mato Grosso do Sul";288;234;3;525
".. Mato Grosso";463;352;2;817
".. Goiás";596;449;7;1052
".. Distrito Federal";190;141;2;333
"Total";16395;13356;153;29904
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
