 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4003;83;242;41;146;2;4517
".. Rondônia";271;1;7;3;11;-;293
".. Acre";213;1;21;1;9;-;245
".. Amazonas";1053;11;87;5;48;-;1204
".. Roraima";248;4;26;2;33;-;313
".. Pará";1694;61;86;23;31;2;1897
".. Amapá";253;4;5;-;9;-;271
".. Tocantins";271;1;10;7;5;-;294
"Região Nordeste";9009;189;321;55;127;7;9708
".. Maranhão";1300;23;55;18;43;4;1443
".. Piauí";589;4;26;5;6;-;630
".. Ceará";1234;15;38;6;9;-;1302
".. Rio Grande do Norte";421;4;12;1;2;-;440
".. Paraíba";624;3;30;2;9;-;668
".. Pernambuco";1408;62;47;6;11;1;1535
".. Alagoas";583;16;15;3;13;1;631
".. Sergipe";517;3;13;1;2;-;536
".. Bahia";2333;59;85;13;32;1;2523
"Região Sudeste";10625;383;236;26;65;-;11335
".. Minas Gerais";2456;68;85;10;19;-;2638
".. Espírito Santo";560;26;12;2;5;-;605
".. Rio de Janeiro";2204;128;24;2;12;-;2370
".. São Paulo";5405;161;115;12;29;-;5722
"Região Sul";3308;68;122;18;44;-;3560
".. Paraná";1396;34;53;7;21;-;1511
".. Santa Catarina";807;15;34;8;14;-;878
".. Rio Grande do Sul";1105;19;35;3;9;-;1171
"Região Centro-Oeste";2670;77;108;16;24;2;2897
".. Mato Grosso do Sul";479;12;36;6;12;-;545
".. Mato Grosso";760;31;21;2;6;2;822
".. Goiás";1065;27;40;7;5;-;1144
".. Distrito Federal";366;7;11;1;1;-;386
"Total";29615;800;1029;156;406;11;32017
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
