 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2018
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";504;1407;56;236;20;156;-;724;343;212;27;88;158;248;44;307;1232;5762
".. Rondônia";26;113;3;12;4;16;-;70;28;14;2;3;15;13;2;27;128;476
".. Acre";19;68;-;10;2;13;-;44;29;9;-;3;5;9;3;10;71;295
".. Amazonas";129;365;15;52;1;34;-;115;46;47;5;36;28;80;11;88;241;1293
".. Roraima";21;48;3;6;-;9;-;25;15;7;1;6;8;11;2;5;63;230
".. Pará";268;634;33;115;9;61;-;347;189;97;17;35;78;112;24;150;556;2725
".. Amapá";24;76;1;10;-;8;-;34;14;10;1;2;9;14;1;16;47;267
".. Tocantins";17;103;1;31;4;15;-;89;22;28;1;3;15;9;1;11;126;476
"Região Nordeste";1146;4327;237;890;186;504;5;3250;1034;803;74;233;402;591;111;913;3262;17968
".. Maranhão";214;523;32;90;19;76;1;370;128;98;10;28;42;94;7;88;342;2162
".. Piauí";61;203;27;60;11;33;-;164;59;37;1;17;21;51;15;47;200;1007
".. Ceará";146;713;21;86;25;104;2;472;160;128;11;40;56;113;17;62;731;2887
".. Rio Grande do Norte";67;298;14;45;7;21;-;173;46;46;2;10;27;27;8;36;172;999
".. Paraíba";64;307;11;66;13;33;-;243;77;54;5;14;25;40;5;46;200;1203
".. Pernambuco";210;731;44;176;28;61;2;613;158;141;6;39;75;96;18;64;511;2973
".. Alagoas";73;269;12;68;6;32;-;234;69;53;5;9;27;26;14;39;171;1107
".. Sergipe";41;165;7;34;14;19;-;127;38;28;4;10;25;21;3;42;109;687
".. Bahia";270;1118;69;265;63;125;-;854;299;218;30;66;104;123;24;489;826;4943
"Região Sudeste";1779;6749;278;1237;280;789;8;4971;1595;1280;96;363;674;674;207;1627;3823;26430
".. Minas Gerais";366;1443;92;326;132;205;1;1009;292;332;22;73;149;139;49;446;1079;6155
".. Espírito Santo";63;311;9;57;16;33;-;197;71;52;9;18;39;41;8;7;251;1182
".. Rio de Janeiro";606;1585;63;339;64;164;3;1198;329;248;22;79;189;176;54;482;837;6438
".. São Paulo";744;3410;114;515;68;387;4;2567;903;648;43;193;297;318;96;692;1656;12655
"Região Sul";689;2494;68;414;110;282;2;1272;404;362;17;115;165;178;97;237;1602;8508
".. Paraná";187;951;27;158;48;141;1;543;167;147;6;48;58;82;39;72;632;3307
".. Santa Catarina";131;622;10;85;14;53;1;276;82;84;2;18;44;35;18;44;359;1878
".. Rio Grande do Sul";371;921;31;171;48;88;-;453;155;131;9;49;63;61;40;121;611;3323
"Região Centro-Oeste";299;1283;46;250;55;136;-;831;252;268;18;86;101;171;48;128;1053;5025
".. Mato Grosso do Sul";50;200;8;48;12;30;-;156;40;49;5;12;18;31;3;26;188;876
".. Mato Grosso";75;236;11;62;6;32;-;186;53;55;3;25;31;46;6;36;255;1118
".. Goiás";134;592;18;114;27;51;-;389;121;126;8;34;35;70;26;45;468;2258
".. Distrito Federal";40;255;9;26;10;23;-;100;38;38;2;15;17;24;13;21;142;773
"Total";4417;16260;685;3027;651;1867;15;11048;3628;2925;232;885;1500;1862;507;3212;10972;63693
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
