 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2019
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";502;1379;73;257;17;172;3;762;341;248;23;87;150;250;-;38;343;1096;5741
".. Rondônia";30;129;4;25;1;22;1;74;22;9;6;5;12;14;-;1;25;123;503
".. Acre";21;62;10;15;1;8;-;35;22;7;-;5;8;8;-;6;11;66;285
".. Amazonas";107;347;17;65;2;33;1;150;60;43;4;30;29;67;-;14;103;249;1321
".. Roraima";22;54;3;8;-;13;-;31;11;10;1;5;4;11;-;1;11;61;246
".. Pará";283;618;34;101;5;69;1;363;184;130;11;32;73;130;-;13;155;462;2664
".. Amapá";18;64;4;18;-;7;-;33;19;20;1;3;9;5;-;1;15;41;258
".. Tocantins";21;105;1;25;8;20;-;76;23;29;-;7;15;15;-;2;23;94;464
"Região Nordeste";1196;4264;258;891;158;571;8;3159;1010;859;94;229;455;542;3;125;1059;3082;17963
".. Maranhão";192;481;38;118;18;62;3;387;107;102;20;24;61;85;-;13;103;343;2157
".. Piauí";70;246;15;42;11;42;1;159;65;41;6;15;20;46;-;7;49;214;1049
".. Ceará";157;691;34;88;22;122;1;403;146;125;10;45;65;108;2;22;48;541;2630
".. Rio Grande do Norte";59;250;11;57;4;34;-;188;53;55;4;13;23;32;-;7;43;166;999
".. Paraíba";49;324;15;72;9;38;-;261;70;56;8;13;39;45;-;12;63;197;1271
".. Pernambuco";229;792;36;172;24;87;3;627;188;157;10;37;76;73;-;20;85;515;3131
".. Alagoas";77;242;10;72;5;32;-;226;70;67;10;12;22;29;1;12;43;185;1115
".. Sergipe";49;178;13;32;14;27;-;111;34;26;4;8;21;12;-;2;50;100;681
".. Bahia";314;1060;86;238;51;127;-;797;277;230;22;62;128;112;-;30;575;821;4930
"Região Sudeste";1758;6937;302;1287;310;831;9;5093;1654;1321;96;361;703;627;2;197;1719;3875;27082
".. Minas Gerais";418;1501;77;313;171;220;1;1011;344;313;30;74;158;117;-;42;440;1081;6311
".. Espírito Santo";72;291;11;67;13;48;1;213;51;44;7;19;31;33;-;12;7;258;1178
".. Rio de Janeiro";591;1536;94;376;52;161;6;1226;412;260;24;84;183;183;-;42;499;838;6567
".. São Paulo";677;3609;120;531;74;402;1;2643;847;704;35;184;331;294;2;101;773;1698;13026
"Região Sul";678;2483;86;391;91;281;3;1186;438;372;25;107;184;159;12;73;326;1625;8520
".. Paraná";174;897;37;149;37;135;1;528;179;171;4;45;69;72;-;28;101;672;3299
".. Santa Catarina";133;575;20;62;15;60;-;265;105;73;11;25;42;31;-;13;51;395;1876
".. Rio Grande do Sul";371;1011;29;180;39;86;2;393;154;128;10;37;73;56;12;32;174;558;3345
"Região Centro-Oeste";294;1239;51;228;44;136;1;836;268;238;12;83;103;148;-;56;179;1036;4952
".. Mato Grosso do Sul";54;222;13;51;6;20;-;166;56;34;5;11;17;24;-;9;29;194;911
".. Mato Grosso";84;261;14;51;7;30;-;182;55;43;2;24;27;44;-;11;60;255;1150
".. Goiás";123;540;16;93;24;54;1;372;130;123;3;37;52;71;-;20;65;455;2179
".. Distrito Federal";33;216;8;33;7;32;-;116;27;38;2;11;7;9;-;16;25;132;712
"Total";4428;16302;770;3054;620;1991;24;11036;3711;3038;250;867;1595;1726;17;489;3626;10714;64258
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
