 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2020
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";1427;1338;79;291;37;124;-;-;784;364;259;20;87;155;310;1;25;376;1167;6844
".. Rondônia";136;105;8;24;4;10;-;-;70;33;29;2;5;8;19;-;-;40;133;626
".. Acre";60;51;3;11;-;8;-;-;49;17;15;-;2;9;5;1;2;24;59;316
".. Amazonas";373;370;15;66;3;29;-;-;143;70;49;5;30;39;78;-;8;81;218;1577
".. Roraima";56;50;6;4;1;1;-;-;29;9;17;-;9;4;20;-;-;12;66;284
".. Pará";608;597;39;143;14;60;-;-;366;198;118;10;32;83;155;-;12;190;511;3136
".. Amapá";101;74;3;15;3;7;-;-;47;18;11;1;4;4;15;-;2;11;67;383
".. Tocantins";93;91;5;28;12;9;-;-;80;19;20;2;5;8;18;-;1;18;113;522
"Região Nordeste";3461;4387;251;1114;234;551;3;5;3001;1026;841;78;209;420;699;3;121;1290;3308;21002
".. Maranhão";373;481;41;127;14;49;-;2;430;152;96;9;23;62;101;1;13;154;408;2536
".. Piauí";177;250;17;54;18;40;-;-;190;36;50;1;21;27;47;-;9;46;182;1165
".. Ceará";577;706;39;113;28;109;1;1;408;136;105;14;39;40;132;1;16;121;648;3234
".. Rio Grande do Norte";194;275;8;68;11;19;-;-;166;53;47;5;13;14;34;-;5;36;156;1104
".. Paraíba";203;333;15;87;18;39;-;-;186;86;61;5;5;35;56;-;6;77;201;1413
".. Pernambuco";663;755;34;227;50;117;2;2;534;223;163;14;30;86;99;1;26;157;583;3766
".. Alagoas";266;257;11;71;12;18;-;-;193;67;61;2;10;27;40;-;7;80;176;1298
".. Sergipe";168;181;12;32;13;27;-;-;79;28;25;7;4;18;33;-;4;44;92;767
".. Bahia";840;1149;74;335;70;133;-;-;815;245;233;21;64;111;157;-;35;575;862;5719
"Região Sudeste";5346;6830;285;1529;375;730;-;8;4908;1858;1240;104;314;756;767;8;164;2080;3809;31111
".. Minas Gerais";785;1514;71;352;164;191;-;3;1019;330;333;23;70;197;135;1;33;535;1007;6763
".. Espírito Santo";295;311;9;80;17;42;-;-;207;49;68;3;15;31;43;1;7;22;268;1468
".. Rio de Janeiro";1807;1594;80;406;69;135;-;4;1142;416;242;24;85;216;236;1;39;612;828;7936
".. São Paulo";2459;3411;125;691;125;362;-;1;2540;1063;597;54;144;312;353;5;85;911;1706;14944
"Região Sul";1370;2436;63;464;125;268;-;-;1163;348;395;19;86;173;188;8;70;324;1609;9109
".. Paraná";493;925;27;168;51;117;-;-;487;132;171;7;40;71;84;-;32;110;660;3575
".. Santa Catarina";278;589;16;87;20;62;-;-;266;83;87;3;13;39;37;-;12;60;389;2041
".. Rio Grande do Sul";599;922;20;209;54;89;-;-;410;133;137;9;33;63;67;8;26;154;560;3493
"Região Centro-Oeste";1067;1182;60;265;65;148;-;-;816;219;258;13;75;134;182;-;38;194;1061;5777
".. Mato Grosso do Sul";161;196;8;43;2;31;-;-;182;50;55;6;18;22;16;-;5;27;197;1019
".. Mato Grosso";295;235;14;66;16;32;-;-;147;45;44;2;16;40;55;-;4;78;279;1368
".. Goiás";447;535;24;126;36;63;-;-;376;104;138;4;26;53;89;-;17;54;461;2553
".. Distrito Federal";164;216;14;30;11;22;-;-;111;20;21;1;15;19;22;-;12;35;124;837
"Total";12671;16173;738;3663;836;1821;3;13;10672;3815;2993;234;771;1638;2146;20;418;4264;10954;73843
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
