 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2025
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";130;345;10;485
".. Rondônia";11;19;1;31
".. Acre";8;4;-;12
".. Amazonas";30;87;5;122
".. Roraima";7;11;-;18
".. Pará";58;196;3;257
".. Amapá";6;18;1;25
".. Tocantins";10;10;-;20
"Região Nordeste";274;534;10;818
".. Maranhão";48;99;-;147
".. Piauí";19;33;1;53
".. Ceará";37;42;-;79
".. Rio Grande do Norte";16;25;1;42
".. Paraíba";22;33;2;57
".. Pernambuco";30;112;1;143
".. Alagoas";26;31;-;57
".. Sergipe";7;19;3;29
".. Bahia";69;140;2;211
"Região Sudeste";278;694;17;989
".. Minas Gerais";64;101;2;167
".. Espírito Santo";17;49;-;66
".. Rio de Janeiro";82;271;8;361
".. São Paulo";115;273;7;395
"Região Sul";83;373;5;461
".. Paraná";36;99;5;140
".. Santa Catarina";18;83;-;101
".. Rio Grande do Sul";29;191;-;220
"Região Centro-Oeste";63;159;1;223
".. Mato Grosso do Sul";15;35;1;51
".. Mato Grosso";14;56;-;70
".. Goiás";27;58;-;85
".. Distrito Federal";7;10;-;17
"Total";828;2105;43;2976
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
