 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2018
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";262;471;1083;1617;2329;5762
".. Rondônia";15;34;76;136;215;476
".. Acre";20;25;59;66;125;295
".. Amazonas";73;135;223;335;527;1293
".. Roraima";16;25;53;63;73;230
".. Pará";109;203;541;795;1077;2725
".. Amapá";12;18;58;66;113;267
".. Tocantins";17;31;73;156;199;476
"Região Nordeste";584;1110;2837;5096;8341;17968
".. Maranhão";82;134;384;652;910;2162
".. Piauí";34;59;174;310;430;1007
".. Ceará";106;217;518;800;1246;2887
".. Rio Grande do Norte";30;60;158;257;494;999
".. Paraíba";35;78;175;324;591;1203
".. Pernambuco";72;174;418;802;1507;2973
".. Alagoas";48;73;165;312;509;1107
".. Sergipe";28;35;84;212;328;687
".. Bahia";149;280;761;1427;2326;4943
"Região Sudeste";575;1193;3738;7131;13793;26430
".. Minas Gerais";161;279;884;1662;3169;6155
".. Espírito Santo";35;58;165;329;595;1182
".. Rio de Janeiro";118;294;930;1710;3386;6438
".. São Paulo";261;562;1759;3430;6643;12655
"Região Sul";205;424;1250;2310;4319;8508
".. Paraná";86;165;490;916;1650;3307
".. Santa Catarina";52;90;282;494;960;1878
".. Rio Grande do Sul";67;169;478;900;1709;3323
"Região Centro-Oeste";141;298;780;1405;2401;5025
".. Mato Grosso do Sul";28;53;142;250;403;876
".. Mato Grosso";31;79;180;311;517;1118
".. Goiás";64;123;350;617;1104;2258
".. Distrito Federal";18;43;108;227;377;773
"Total";1767;3496;9688;17559;31183;63693
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
