 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2024
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4304;320;991;376;309;5;6305
".. Rondônia";355;12;79;54;32;-;532
".. Acre";208;4;52;15;14;1;294
".. Amazonas";1082;12;228;60;75;-;1457
".. Roraima";195;2;55;13;25;1;291
".. Pará";1870;258;448;191;126;2;2895
".. Amapá";223;8;40;1;11;1;284
".. Tocantins";371;24;89;42;26;-;552
"Região Nordeste";12902;1297;3332;1226;918;18;19693
".. Maranhão";1594;98;351;164;134;6;2347
".. Piauí";780;22;253;71;49;1;1176
".. Ceará";1790;178;528;221;151;-;2868
".. Rio Grande do Norte";625;88;172;45;38;1;969
".. Paraíba";891;51;221;77;65;2;1307
".. Pernambuco";2270;301;523;212;117;1;3424
".. Alagoas";805;126;202;46;94;2;1275
".. Sergipe";529;8;130;42;10;1;720
".. Bahia";3618;425;952;348;260;4;5607
"Região Sudeste";20669;2745;4112;1264;845;9;29644
".. Minas Gerais";4570;534;1196;346;227;5;6878
".. Espírito Santo";942;93;214;108;55;1;1413
".. Rio de Janeiro";4390;1031;705;198;211;1;6536
".. São Paulo";10767;1087;1997;612;352;2;14817
"Região Sul";6856;439;1481;584;407;3;9770
".. Paraná";2761;222;581;240;200;-;4004
".. Santa Catarina";1542;76;358;149;81;1;2207
".. Rio Grande do Sul";2553;141;542;195;126;2;3559
"Região Centro-Oeste";3968;423;847;380;205;2;5825
".. Mato Grosso do Sul";728;38;177;75;52;-;1070
".. Mato Grosso";846;90;203;112;47;1;1299
".. Goiás";1776;207;355;158;79;1;2576
".. Distrito Federal";618;88;112;35;27;-;880
"Total";48699;5224;10763;3830;2684;37;71237
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
