 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2016
"Região/Unidade da Federação";"Cap I";"Cap XVI";"Cap XVII";"Total"
"Região Norte";16;3239;145;3400
".. Rondônia";-;237;9;246
".. Acre";2;167;6;175
".. Amazonas";1;866;37;904
".. Roraima";-;111;7;118
".. Pará";8;1455;59;1522
".. Amapá";-;181;6;187
".. Tocantins";5;222;21;248
"Região Nordeste";116;9421;504;10041
".. Maranhão";2;1426;46;1474
".. Piauí";5;575;38;618
".. Ceará";9;1303;72;1384
".. Rio Grande do Norte";5;513;35;553
".. Paraíba";6;629;32;667
".. Pernambuco";64;1353;106;1523
".. Alagoas";2;506;15;523
".. Sergipe";-;352;17;369
".. Bahia";23;2764;143;2930
"Região Sudeste";181;10446;770;11397
".. Minas Gerais";15;2547;196;2758
".. Espírito Santo";7;457;29;493
".. Rio de Janeiro";149;2396;143;2688
".. São Paulo";10;5046;402;5458
"Região Sul";54;2852;265;3171
".. Paraná";12;1034;100;1146
".. Santa Catarina";11;706;64;781
".. Rio Grande do Sul";31;1112;101;1244
"Região Centro-Oeste";34;2016;151;2201
".. Mato Grosso do Sul";5;396;25;426
".. Mato Grosso";3;485;41;529
".. Goiás";12;785;54;851
".. Distrito Federal";14;350;31;395
"Total";401;27974;1835;30210
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
