 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2026
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap XVI";"Cap XVII";"Cap XVIII";"Total"
"Região Norte";8;-;1067;48;-;1123
".. Rondônia";-;-;64;3;-;67
".. Acre";-;-;49;4;-;53
".. Amazonas";4;-;268;13;-;285
".. Roraima";-;-;56;3;-;59
".. Pará";4;-;497;20;-;521
".. Amapá";-;-;47;-;-;47
".. Tocantins";-;-;86;5;-;91
"Região Nordeste";16;-;2553;163;-;2732
".. Maranhão";2;-;359;8;-;369
".. Piauí";-;-;160;9;-;169
".. Ceará";4;-;323;30;-;357
".. Rio Grande do Norte";1;-;102;15;-;118
".. Paraíba";-;-;176;11;-;187
".. Pernambuco";6;-;378;34;-;418
".. Alagoas";2;-;176;6;-;184
".. Sergipe";-;-;96;9;-;105
".. Bahia";1;-;783;41;-;825
"Região Sudeste";38;1;3219;293;-;3551
".. Minas Gerais";9;-;712;88;-;809
".. Espírito Santo";1;-;163;14;-;178
".. Rio de Janeiro";22;1;633;54;-;710
".. São Paulo";6;-;1711;137;-;1854
"Região Sul";4;-;1004;110;-;1118
".. Paraná";3;-;418;51;-;472
".. Santa Catarina";1;-;271;25;-;297
".. Rio Grande do Sul";-;-;315;34;-;349
"Região Centro-Oeste";3;-;770;59;2;834
".. Mato Grosso do Sul";-;-;146;14;-;160
".. Mato Grosso";-;-;182;14;-;196
".. Goiás";3;-;318;16;2;339
".. Distrito Federal";-;-;124;15;-;139
"Total";69;1;8613;673;2;9358
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
