 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2021
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3225;33;300;19;87;32;3696
".. Rondônia";223;2;10;3;-;3;241
".. Acre";144;-;18;-;2;-;164
".. Amazonas";834;4;106;5;43;10;1002
".. Roraima";126;-;10;1;7;-;144
".. Pará";1445;25;129;8;26;14;1647
".. Amapá";188;1;14;1;8;3;215
".. Tocantins";265;1;13;1;1;2;283
"Região Nordeste";8814;156;382;67;88;100;9607
".. Maranhão";1303;20;107;5;21;15;1471
".. Piauí";478;3;25;2;5;10;523
".. Ceará";1265;6;57;14;15;31;1388
".. Rio Grande do Norte";436;5;14;2;1;7;465
".. Paraíba";568;-;20;4;6;9;607
".. Pernambuco";1362;26;29;15;12;7;1451
".. Alagoas";511;6;22;-;4;2;545
".. Sergipe";365;3;6;1;2;1;378
".. Bahia";2526;87;102;24;22;18;2779
"Região Sudeste";10085;167;224;41;48;28;10593
".. Minas Gerais";2434;17;68;12;13;13;2557
".. Espírito Santo";479;47;5;1;2;1;535
".. Rio de Janeiro";2364;23;47;8;11;7;2460
".. São Paulo";4808;80;104;20;22;7;5041
"Região Sul";2850;20;79;14;19;8;2990
".. Paraná";1093;9;31;6;9;2;1150
".. Santa Catarina";735;6;23;4;3;-;771
".. Rio Grande do Sul";1022;5;25;4;7;6;1069
"Região Centro-Oeste";2247;50;85;13;23;21;2439
".. Mato Grosso do Sul";449;4;25;3;5;1;487
".. Mato Grosso";551;6;32;3;8;8;608
".. Goiás";878;38;21;2;9;12;960
".. Distrito Federal";369;2;7;5;1;-;384
"Total";27221;426;1070;154;265;189;29325
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
