 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Duração gestação
Período:2024
"Região/Unidade da Federação";"Menos de 22 semanas";"22 a 27 semanas";"28 a 31 semanas";"32 a 36 semanas";"37 a 41 semanas";"42 semanas e mais";"Ignorado";"Total"
"Região Norte";280;678;504;784;647;14;139;3046
".. Rondônia";15;55;38;47;23;-;8;186
".. Acre";10;33;27;36;34;2;12;154
".. Amazonas";62;180;132;203;181;3;23;784
".. Roraima";18;33;24;36;27;1;10;149
".. Pará";131;304;224;381;307;6;65;1418
".. Amapá";13;23;24;22;34;1;13;130
".. Tocantins";31;50;35;59;41;1;8;225
"Região Nordeste";746;1832;1231;1841;1471;17;459;7597
".. Maranhão";86;207;190;291;276;4;74;1128
".. Piauí";28;91;81;101;93;2;23;419
".. Ceará";110;238;148;267;175;-;48;986
".. Rio Grande do Norte";67;105;63;91;60;1;18;405
".. Paraíba";38;127;76;116;83;2;21;463
".. Pernambuco";63;296;217;298;237;2;62;1175
".. Alagoas";49;124;87;118;102;2;47;529
".. Sergipe";19;81;43;66;59;-;12;280
".. Bahia";286;563;326;493;386;4;154;2212
"Região Sudeste";1058;2588;1368;1887;1307;5;648;8861
".. Minas Gerais";256;628;322;491;355;-;165;2217
".. Espírito Santo";38;154;71;93;67;-;25;448
".. Rio de Janeiro";215;538;324;458;304;1;97;1937
".. São Paulo";549;1268;651;845;581;4;361;4259
"Região Sul";352;855;415;560;395;1;130;2708
".. Paraná";155;346;150;223;153;1;33;1061
".. Santa Catarina";87;244;111;154;111;-;32;739
".. Rio Grande do Sul";110;265;154;183;131;-;65;908
"Região Centro-Oeste";269;610;331;515;345;3;79;2152
".. Mato Grosso do Sul";43;103;60;113;72;1;14;406
".. Mato Grosso";45;156;76;120;96;1;17;511
".. Goiás";124;247;140;217;130;1;37;896
".. Distrito Federal";57;104;55;65;47;-;11;339
"Total";2705;6563;3849;5587;4165;40;1455;24364
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
