 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Grande Grupo CID10
Período:2018
"Região/Unidade da Federação";"V01-V99 Acidentes de transporte";"W00-X59 Outras causas externas de lesões acident";"X60-X84 Lesões autoprovocadas voluntariamente";"X85-Y09 Agressões";"Y10-Y34 Eventos cuja intenção é indeterminada";"Y35-Y36 Intervenções legais e operações de guerra";"Y40-Y84 Complic assistência médica e cirúrgica";"Y85-Y89 Seqüelas de causas externas";"Total"
"Região Norte";3131;2373;991;8272;390;93;12;20;15282
".. Rondônia";404;256;125;475;23;1;1;5;1290
".. Acre";100;111;59;409;5;-;5;-;689
".. Amazonas";485;640;234;1541;19;1;3;5;2928
".. Roraima";94;88;37;413;65;1;-;-;698
".. Pará";1507;941;350;4506;233;22;2;8;7569
".. Amapá";67;86;62;374;10;52;-;1;652
".. Tocantins";474;251;124;554;35;16;1;1;1456
"Região Nordeste";10447;7497;2996;23496;3568;625;454;96;49179
".. Maranhão";1395;924;313;1980;73;2;112;12;4811
".. Piauí";966;384;331;617;155;2;9;8;2472
".. Ceará";1923;1143;655;4893;538;7;18;9;9186
".. Rio Grande do Norte";537;323;196;1824;222;1;41;-;3144
".. Paraíba";867;590;237;1237;60;7;34;4;3036
".. Pernambuco";1575;1570;430;4188;812;2;39;23;8639
".. Alagoas";595;418;137;1440;24;1;63;5;2683
".. Sergipe";398;324;134;1133;114;-;8;1;2112
".. Bahia";2191;1821;563;6184;1570;603;130;34;13096
"Região Sudeste";10892;14121;4675;13736;7218;983;1048;208;52881
".. Minas Gerais";3298;3127;1530;3355;1252;17;162;41;12782
".. Espírito Santo";779;917;239;1163;261;2;21;27;3409
".. Rio de Janeiro";2085;3581;699;5619;1440;836;422;23;14705
".. São Paulo";4730;6496;2207;3599;4265;128;443;117;21985
"Região Sul";5623;5242;2891;5777;736;208;158;187;20822
".. Paraná";2458;2214;915;2308;381;135;41;97;8549
".. Santa Catarina";1397;1075;735;802;132;41;50;19;4251
".. Rio Grande do Sul";1768;1953;1241;2667;223;32;67;71;8022
"Região Centro-Oeste";3532;2641;1180;4633;398;133;67;66;12650
".. Mato Grosso do Sul";572;469;268;535;85;37;8;11;1985
".. Mato Grosso";1064;528;226;971;101;18;8;6;2922
".. Goiás";1540;1233;499;2599;166;76;38;34;6185
".. Distrito Federal";356;411;187;528;46;2;13;15;1558
"Total";33625;31874;12733;55914;12310;2042;1739;577;150814
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
