 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2021
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";150;223;117;235;1369;4259;2907;1939;1252;803;490;513;147;14404
".. Rondônia";9;15;6;20;99;369;296;248;181;105;68;74;8;1498
".. Acre";5;6;5;15;52;128;102;59;36;27;14;12;8;469
".. Amazonas";33;67;32;60;383;1118;695;373;208;156;89;73;16;3303
".. Roraima";20;19;7;8;63;179;132;71;75;41;19;21;4;659
".. Pará";64;86;42;92;560;1804;1270;856;552;329;211;212;104;6182
".. Amapá";5;12;7;20;116;286;137;93;49;22;14;23;-;784
".. Tocantins";14;18;18;20;96;375;275;239;151;123;75;98;7;1509
"Região Nordeste";225;359;213;473;4303;12731;9246;6438;4422;3105;2570;3218;329;47632
".. Maranhão";37;68;38;88;458;1276;1080;718;465;318;232;249;29;5056
".. Piauí";8;22;18;16;178;592;555;423;266;210;163;169;32;2652
".. Ceará";35;50;28;93;761;2196;1594;1139;827;508;434;473;19;8157
".. Rio Grande do Norte";8;10;9;19;177;715;503;367;280;161;132;190;5;2576
".. Paraíba";15;30;15;22;205;719;565;460;319;230;180;216;5;2981
".. Pernambuco";51;61;27;54;714;1899;1537;1033;836;636;547;702;155;8252
".. Alagoas";22;26;14;33;263;687;452;310;226;163;132;145;-;2473
".. Sergipe";10;18;4;17;117;528;347;231;161;114;112;181;1;1841
".. Bahia";39;74;60;131;1430;4119;2613;1757;1042;765;638;893;83;13644
"Região Sudeste";467;397;207;370;2784;9816;8114;7241;6031;5253;4616;7355;596;53247
".. Minas Gerais";72;90;56;119;685;2345;2116;1949;1694;1377;1120;1709;34;13366
".. Espírito Santo";32;32;19;42;271;651;610;538;382;380;238;481;68;3744
".. Rio de Janeiro";167;93;42;78;876;3059;1787;1387;1231;1130;1099;1813;272;13034
".. São Paulo";196;182;90;131;952;3761;3601;3367;2724;2366;2159;3352;222;23103
"Região Sul";122;159;107;156;1191;4103;3606;2972;2576;2045;1756;2524;95;21412
".. Paraná";52;57;43;65;569;1995;1630;1243;1008;745;667;1053;45;9172
".. Santa Catarina";19;39;30;33;210;837;763;666;617;494;397;457;13;4575
".. Rio Grande do Sul";51;63;34;58;412;1271;1213;1063;951;806;692;1014;37;7665
"Região Centro-Oeste";103;134;71;139;911;2570;2357;1900;1503;1035;799;1042;63;12627
".. Mato Grosso do Sul";30;15;14;32;174;411;403;307;271;153;133;139;9;2091
".. Mato Grosso";30;43;24;35;247;648;599;527;410;276;150;162;18;3169
".. Goiás";30;62;23;55;419;1243;1077;833;653;487;413;575;35;5905
".. Distrito Federal";13;14;10;17;71;268;278;233;169;119;103;166;1;1462
"Total";1067;1272;715;1373;10558;33479;26230;20490;15784;12241;10231;14652;1230;149322
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
