 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2022
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";12427;2145;23;14595
".. Rondônia";1319;280;-;1599
".. Acre";443;77;2;522
".. Amazonas";2813;405;4;3222
".. Roraima";503;108;-;611
".. Pará";5513;905;16;6434
".. Amapá";588;103;-;691
".. Tocantins";1248;267;1;1516
"Região Nordeste";39703;8054;56;47813
".. Maranhão";4041;802;11;4854
".. Piauí";2191;446;6;2643
".. Ceará";6835;1346;-;8181
".. Rio Grande do Norte";2105;399;5;2509
".. Paraíba";2511;558;1;3070
".. Pernambuco";6881;1601;20;8502
".. Alagoas";2081;403;-;2484
".. Sergipe";1583;339;-;1922
".. Bahia";11475;2160;13;13648
"Região Sudeste";40949;13834;65;54848
".. Minas Gerais";10650;3368;3;14021
".. Espírito Santo";2945;863;8;3816
".. Rio de Janeiro";9370;3273;36;12679
".. São Paulo";17984;6330;18;24332
"Região Sul";17162;5392;19;22573
".. Paraná";7631;2254;16;9901
".. Santa Catarina";3548;1214;-;4762
".. Rio Grande do Sul";5983;1924;3;7910
"Região Centro-Oeste";10312;2787;17;13116
".. Mato Grosso do Sul";1725;535;1;2261
".. Mato Grosso";2815;604;2;3421
".. Goiás";4650;1266;10;5926
".. Distrito Federal";1122;382;4;1508
"Total";120553;32212;180;152945
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
