 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2017
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4539;248;2090;5657;3062;193;15789
".. Rondônia";496;7;228;496;222;9;1458
".. Acre";164;3;164;297;190;2;820
".. Amazonas";983;104;411;915;581;11;3005
".. Roraima";156;8;100;115;206;5;590
".. Pará";2024;111;868;3108;1443;160;7714
".. Amapá";260;9;80;137;147;1;634
".. Tocantins";456;6;239;589;273;5;1568
"Região Nordeste";15665;915;6673;21150;8422;158;52983
".. Maranhão";1722;47;700;1678;902;27;5076
".. Piauí";804;13;399;830;358;10;2414
".. Ceará";2405;140;1213;4342;1658;49;9807
".. Rio Grande do Norte";893;37;588;1589;463;10;3580
".. Paraíba";1009;17;389;1233;437;10;3095
".. Pernambuco";2793;348;1057;4115;1445;12;9770
".. Alagoas";924;6;285;1517;400;1;3133
".. Sergipe";761;6;351;1069;136;-;2323
".. Bahia";4354;301;1691;4777;2623;39;13785
"Região Sudeste";24872;2223;6691;13692;7278;178;54934
".. Minas Gerais";5461;610;2186;4132;1863;72;14324
".. Espírito Santo";1541;106;422;1270;395;48;3782
".. Rio de Janeiro";7244;793;973;2846;2768;10;14634
".. São Paulo";10626;714;3110;5444;2252;48;22194
"Região Sul";7460;338;4050;6867;3109;43;21867
".. Paraná";3173;222;1432;2560;1206;10;8603
".. Santa Catarina";1522;31;879;1495;689;5;4621
".. Rio Grande do Sul";2765;85;1739;2812;1214;28;8643
"Região Centro-Oeste";4662;278;1919;4261;1916;48;13084
".. Mato Grosso do Sul";634;33;360;598;436;1;2062
".. Mato Grosso";1104;67;428;954;461;7;3021
".. Goiás";2230;156;935;2200;895;36;6452
".. Distrito Federal";694;22;196;509;124;4;1549
"Total";57198;4002;21423;51627;23787;620;158657
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
